,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,parking
1133,755127,https://www.airbnb.com/rooms/755127,20220910194334,2022-09-11,city scrape,"Lovely Knightsbridge Flat - central, quiet, garden","LONG TERM LET ONLY. <br />A light and quiet two bedroom flat forms part of a period building in one of London's most exclusive tree-lined garden squares. 4 minute walk from Harrods. <br /><br />The flat has a private garden with bbq and deck, and private residents central garden.<br /><br /> Please get in touch before you book and let me know your plans. :-)<br /><br /><b>The space</b><br />The flat is quiet yet central. A real delight at a very reasonable price. Just check our reviews. Perfectly formed with all you could want. Close to everywhere you want to go. <br />With Wi-FI, desk and printer in one bedroom you can use it as your live work office.<br />And just as easily as you can use it as a romantic getaway, with uplit garden and bespoke bathroom. <br />Family's are also welcome as the easy transport links will make exploring a doddle and much of the time you can just walk to kid friendly museums and parks on un-crowded back streets.<br /><br />The main bed is a US Queen sized ","The flat is South of Beauchamp Place within walking distance of Knightsbridge Tube, Kings Road and premier shopping facilities like Harrods. <br />Very close to world class Museums - the Natural History, Victoria and Albert, and Science Museums, parks, river Thames, bars and pubs all within easy walking distance.",https://a0.muscache.com/pictures/miso/Hosting-755127/original/3ecddc2d-09dd-498c-acef-51bb3481bf89.jpeg,2372419,https://www.airbnb.com/users/show/2372419,Ollie,2012-05-14,"London, United Kingdom",I am from Somerset in the South West of England. I like making short films and documentaries. And extreme exuberance and then going to bed for a week.,,,75%,f,https://a0.muscache.com/im/users/2372419/profile_pic/1337034797/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2372419/profile_pic/1337034797/original.jpg?aki_policy=profile_x_medium,,1.0,5.0,"['email', 'phone']",t,t,"London, England, United Kingdom",Kensington and Chelsea,,51.49494,-0.16359,Entire condo,Entire home/apt,4,,1 bath,2.0,2.0,"[""Oven"", ""Fire extinguisher"", ""Hair dryer"", ""Hangers"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Essentials"", ""Shampoo"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Wifi"", ""Heating"", ""Dishwasher"", ""Backyard"", ""Long term stays allowed"", ""TV"", ""Microwave"", ""Refrigerator"", ""Iron"", ""Kitchen"", ""Stove"", ""Hot water"", ""Washer"", ""Paid parking off premises"", ""Smoke alarm"", ""Dryer"", ""Lockbox""]",160.0,60,730,60.0,60.0,730.0,730.0,60.0,730.0,,t,0,0,0,265,2022-09-11,81,2,0,2012-11-04,2022-01-11,4.58,4.65,4.54,4.7,4.76,4.91,4.59,,f,1,1,0,0,0.68,1
2298,2880469,https://www.airbnb.com/rooms/2880469,20220910194334,2022-09-11,previous scrape,"❤ Charming 2 Bedroom Luxury Flat, South Kensington","Elegantly furnished Grade II listed 2 bedroom lower-ground floor period flat in a beautiful and exclusive South Kensington neighbourhood of Queen's Gate. Close to bars, café, supermarkets & many restaurants. Nearby attractions include; Natural History, V&A, Science Musuems - Royal Albert Hall, Hyde Park / Kensington Palace and Harrods. Other famous London landmarks are just a short train ride away; both Gloucester Road & South Kensington train stations are within a few minutes walking distance<br /><br /><b>The space</b><br />Living Room: <br />High ceiling, spacious and bright. Comfortable sofa, marble coffee, LED TV with a wide choice of satellite channels, armchair and selection of books. Dining table with 4 chairs.<br /><br />Kitchen: <br />The kitchen comes equipped with quality integrated appliances; oven, hob, dishwasher, built in microwave and fridge-freezer. Crockery and cutlery are supplied with a selection of cooking utensils and cookware, Nespresso coffee maker, kettle and ","This flat is in an exclusive area of South Kensington with the National History Museum, V&A Museum, and Science Museum as neighbours. It’s a short stroll to Kensington Palace, Harrods, Hyde Park, and the Royal Albert Hall. Tube stations are close by.",https://a0.muscache.com/pictures/2b19f613-4059-4ba4-bced-003b6f83edbf.jpg,14721333,https://www.airbnb.com/users/show/14721333,Q,2014-04-25,,"I'm a management consultant, a keen swimmer as well as a foodie. I love flying and spend time travelling, experiencing new culture. I have visited and lived in various parts of the world including Asia, Europe, Australasia, and America.  I enjoy hosting and have hosted over a hundred guests; if you have any questions about your stay please feel free to get in touch as I would be happy to help",,,,f,https://a0.muscache.com/im/pictures/user/0e3dd5c8-067f-4ea1-ad9f-55008d3a058d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0e3dd5c8-067f-4ea1-ad9f-55008d3a058d.jpg?aki_policy=profile_x_medium,,3.0,3.0,"['email', 'phone']",t,t,"South Kensington, London, United Kingdom",Kensington and Chelsea,,51.49592,-0.1804,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,"[""Extra pillows and blankets"", ""First aid kit"", ""Oven"", ""Fire extinguisher"", ""Hair dryer"", ""Hangers"", ""Dishes and silverware"", ""Essentials"", ""Shampoo"", ""TV with standard cable"", ""Cooking basics"", ""Bed linens"", ""Carbon monoxide alarm"", ""Wifi"", ""Heating"", ""Coffee maker"", ""Dishwasher"", ""Backyard"", ""Long term stays allowed"", ""Hot water kettle"", ""Microwave"", ""Refrigerator"", ""Iron"", ""Body soap"", ""Kitchen"", ""Washer"", ""Smoke alarm"", ""Dryer"", ""Cable TV""]",295.0,90,1125,90.0,90.0,1125.0,1125.0,90.0,1125.0,,t,0,0,0,0,2022-09-11,37,0,0,2014-06-28,2018-09-12,4.86,4.84,4.78,4.94,4.95,4.92,4.64,,f,1,1,0,0,0.37,0
2709,3645778,https://www.airbnb.com/rooms/3645778,20220910194334,2022-09-11,city scrape,Charming Notting Hill 2BR w/ garden,"A lovely, light and airy apartment with two double bedrooms in the heart of beautiful Notting Hill. Recently decorated and with access to gorgeous private gardens. A quiet street but very near hustle and bustle of Portobello Road. Live the film!<br /><br /><b>The space</b><br />A beautiful Victorian terraced house on a classic Notting Hill street. A beautiful apartment that sleeps four comfortably in two equal sized double bedrooms with queen beds. <br /><br />Access to magical private gardens so you can live your Hugh Grant and Julia Roberts fantasy without having to climb over the fence!<br /><br />I live in a different house so apart from giving keys and answering any questions you will have the house to yourself.<br /><br />For those who have seen the film Notting Hill, they won't need explaining what makes it a picture postcard perfect example of London at its best. Tree lined streets, old Victorian gaslamps, magical private gardens between each block, charming pubs, trendy restau","For those who have seen the film Notting Hill, they won't need explaining what makes it a picture postcard perfect example of London at its best. Tree lines streets, old Victorian gas lamps, magical communal gardens between each block, charming pubs, trendy restaurants and bars, Portobello with its world famous antique shops plus Westbourne Grove with its designer boutiques. I could go on for ever...",https://a0.muscache.com/pictures/45893573/8c4c8a94_original.jpg,5595435,https://www.airbnb.com/users/show/5595435,Tass,2013-03-24,"London, United Kingdom","I'm from London but am spending a lot of time in New York for work, hence why the apartment is available. Love the experience so far - met some lovely people who've treated the place like their own. ",within an hour,100%,100%,t,https://a0.muscache.com/im/users/5595435/profile_pic/1422069242/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5595435/profile_pic/1422069242/original.jpg?aki_policy=profile_x_medium,Notting Hill,1.0,1.0,"['email', 'phone', 'work_email']",t,t,"London, United Kingdom",Kensington and Chelsea,,51.51436,-0.20347,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,"[""First aid kit"", ""Oven"", ""Fire extinguisher"", ""Hair dryer"", ""Hangers"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Essentials"", ""Shampoo"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Wifi"", ""Heating"", ""Coffee maker"", ""Dishwasher"", ""Backyard"", ""Long term stays allowed"", ""TV"", ""Host greets you"", ""Refrigerator"", ""Iron"", ""Kitchen"", ""Stove"", ""Hot water"", ""Washer"", ""Paid parking off premises"", ""Smoke alarm"", ""Dryer""]",160.0,2,1125,90.0,90.0,1125.0,1125.0,90.0,1125.0,,t,2,4,12,76,2022-09-11,213,32,2,2014-08-04,2022-08-23,4.76,4.83,4.74,4.88,4.96,4.98,4.79,,t,1,1,0,0,2.16,1
5891,7334540,https://www.airbnb.com/rooms/7334540,20220910194334,2022-09-11,previous scrape,"Beautiful flat + communal garden, Notting Hill","Fresh and airy two bedroom flat, in the heart of Notting Hill. Minutes away from tube station, Portobello Market, delicious restaurants and bars. Open planned kitchen and sitting room with access to the peaceful & stunning private communal gardens.<br /><br /><b>The space</b><br />The flat has a really wonderful atmosphere, it is extremely peaceful and light whilst being right in the heart of notting hill.<br /><br /><b>Guest access</b><br />You'll be able to access all of the space","We are right next to portobello market, about a three minute walk from ladbroke grove tube and a seven minute walk from notting hill gate tube station. <br />A minute away from pubs and wonderful restaurants.",https://a0.muscache.com/pictures/8458dae6-78cd-4a89-b607-4d2b3f9ad953.jpg,38361172,https://www.airbnb.com/users/show/38361172,Christabel,2015-07-13,"London, United Kingdom",,,,,f,https://a0.muscache.com/im/users/38361172/profile_pic/1436808563/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/38361172/profile_pic/1436808563/original.jpg?aki_policy=profile_x_medium,Notting Hill,1.0,2.0,"['email', 'phone']",t,f,"London, United Kingdom",Kensington and Chelsea,,51.51562,-0.20925,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,"[""Essentials"", ""Wifi"", ""Hot water"", ""Washer"", ""Oven"", ""Backyard"", ""Long term stays allowed"", ""TV with standard cable"", ""Refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Bed linens"", ""Private entrance"", ""Hangers"", ""Kitchen"", ""Cable TV"", ""Heating"", ""Stove"", ""Dishes and silverware""]",100.0,28,90,28.0,28.0,90.0,90.0,28.0,90.0,,t,0,0,0,0,2022-09-11,27,0,0,2015-08-07,2020-08-21,4.38,4.65,4.62,4.77,4.73,4.77,4.42,,f,1,1,0,0,0.31,0
9987,11349697,https://www.airbnb.com/rooms/11349697,20220910194334,2022-09-11,city scrape,"Bright, Elegant Apartment near Royal Albert Hall","Wake up in the soothing, grey bedroom at a stunning stucco-fronted building at Cornwall Gardens with lush soft furnishings, luxurious linens, and walnut flooring. Two double glass doors lead onto a private outdoor patio for cosy breakfasts. Trevor and Natasha can also be contacted at the Coleridge hotel in Malta should your dates not be available","Kensington is one of London's wealthiest and most elegant locations and, so naturally, contains many of London's finest restaurants, shops, and art galleries.",https://a0.muscache.com/pictures/c35a9acd-e1af-41b7-8266-0ec51c6adf40.jpg,16428531,https://www.airbnb.com/users/show/16428531,Natasha & Trevor,2014-06-05,"Sevenoaks, United Kingdom","I have worked in 5 star hotels for most of my life and today have my own companies that organise conferences, incentives and events as well as Luxury travel for corporate and Frequent individual travelers. I also have a small company that does shortlet property management. I am a fun vibrant and happy person who enjoys entertaining and appreciating the good things in life. Natasha and I have also recently opened a stunning boutique hotel in Valletta Malta called The Coleridge",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/cd090a9c-6d08-4446-8828-e4ddb641c2df.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cd090a9c-6d08-4446-8828-e4ddb641c2df.jpg?aki_policy=profile_x_medium,,7.0,7.0,"['email', 'phone', 'work_email']",t,t,"London, England, United Kingdom",Kensington and Chelsea,,51.49616,-0.18684,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,"[""Wifi"", ""Coffee maker"", ""Dishwasher"", ""Washer"", ""Backyard"", ""Elevator"", ""TV"", ""Full kitchen"", ""Fire extinguisher"", ""Smoke alarm"", ""Room-darkening shades"", ""Hair dryer"", ""Bathroom essentials"", ""Iron"", ""Dryer"", ""Carbon monoxide alarm"", ""Self check-in"", ""Heating"", ""Bedroom comforts""]",285.0,3,365,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,6,9,14,183,2022-09-11,80,24,3,2016-06-13,2022-09-01,4.79,4.8,4.98,4.88,4.95,4.9,4.66,,f,1,1,0,0,1.05,0
10972,12445838,https://www.airbnb.com/rooms/12445838,20220910194334,2022-09-12,previous scrape,NOTTING HILL 2 bed balcony flat with shared garden,"Stylish 2-bed Notting Hill apartment. <br />First floor, cosy, warm and bright  balcony flat in Victorian stucco building, overlooking beautiful private gardens in central London. <br />High ceilings and huge windows. Open plan kitchen, dining & living room opening onto south facing balcony on pretty, tree-lined street.  Access to private communal gardens which run the length of the road. Portobello Market, shops, cafes, cinemas are a 2 minute walk. Close to Kensington Palace & Hyde Park<br /><br /><b>The space</b><br />Our apartment is not currently available, but we expect to be taking bookings at the end of 2021. <br /><br />During this difficult time when travel has become almost impossible, we would like to send our best wishes to all our future and past guests - who have visited from Europe, the US, China, Malaysia and all over the world and stayed in our home. We hope you are well and that we might be able to welcome you back in the future<br /><br />We will be committed to maki","We are right in the heart of Notting Hill. There is plenty to explore here - from Portobello Market; to cafes, coffee shops and restaurants; vintage clothes shops and up-market boutiques.<br />There is also plenty of green space with Holland Park, Kensington Gardens and Hyde Park a short walk or bus ride away. There is also a canal to the north which makes a nice walk along the tow path to Paddington ( watch out for cyclists!) <br />Kensington Palace is right on the doorstep and we are spoilt for museums with the Science Museum  and Natural History Museum fantastic for children and the Victoria and Albert Museum for those interested in history, art and fashion. It also has a fabulous cafe inside and out.",https://a0.muscache.com/pictures/484094f0-5c6b-4274-a5ac-70ad5bac978a.jpg,67332743,https://www.airbnb.com/users/show/67332743,Charlotte,2016-04-15,"London, United Kingdom",,,,,f,https://a0.muscache.com/im/pictures/user/016e9f04-39d0-4fa0-9ce2-32f53bca66dd.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/016e9f04-39d0-4fa0-9ce2-32f53bca66dd.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone', 'work_email']",t,t,"London, United Kingdom",Kensington and Chelsea,,51.51328,-0.20568,Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,"[""Extra pillows and blankets"", ""Oven"", ""Fire extinguisher"", ""Hair dryer"", ""Hangers"", ""Crib"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Essentials"", ""Patio or balcony"", ""Shampoo"", ""TV with standard cable"", ""Free street parking"", ""Cooking basics"", ""Bed linens"", ""Babysitter recommendations"", ""Carbon monoxide alarm"", ""Bathtub"", ""Heating"", ""Wifi"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Dishwasher"", ""Backyard"", ""Pack \u2019n play/Travel crib"", ""Long term stays allowed"", ""Microwave"", ""Refrigerator"", ""Room-darkening shades"", ""Iron"", ""Kitchen"", ""Stove"", ""Paid street parking off premises"", ""Dedicated workspace"", ""Hot water"", ""Washer"", ""Smoke alarm"", ""Dryer"", ""Lockbox"", ""Cable TV""]",143.0,4,356,4.0,4.0,356.0,356.0,4.0,356.0,,t,0,0,0,0,2022-09-12,42,0,0,2016-08-30,2020-09-28,4.93,4.95,4.79,4.95,4.98,5.0,4.9,,f,1,1,0,0,0.57,0
12998,13984052,https://www.airbnb.com/rooms/13984052,20220910194334,2022-09-12,previous scrape,Lovely 2Bed Chelsea bet famous Kings Road &Thames!,"Lovely two bedroom flat sandwiched between the famous Kings Road with its shops, cafés and restaurants, and the River Thames on Chelsea Embankment, In an area rich in history (conservation area) <br /><br />The property is spacious and well-kept, and has a very warm feel to it. There are two bedrooms, that sleeps 4, a bright and airy living room and a spacious kitchen. <br /><br />The Cadogan Pier is 300m walk to catch ferries to Tate, Canary Warf, Tower Bridge etc. Alternatively walk, taxi or bus to Sloan Sq<br /><br /><b>The space</b><br />Spacious two-bed flat on the ground floor in Kings Mansions. The property has a bright living room with loads of natural light. There is an open plan kitchen, equipped with modern appliances. The flat boasts of two bedrooms with extra comfy beds, ensuring a good night's sleep. Linen on notice can be supplied for a double sofa bed in the living room, subject to the flat sleeping max 4. My cleaners place fresh, hotel quality linen on your bed prior t","Smirking along the banks of the Thames, pomp and circumstance precedes Chelsea’s bohemian-turned-businessman reputation. Influential bands like The Beatles and The Rolling Stones lent their stardom to Chelsea during the 60s. The neighborhood’s Swinging London era fame has abated, and its cadre of punks and hippies has grown into sleek-suited business people stepping out of chic townhomes. Chelsea isn’t always polite—its residents root ferociously for their home team, Chelsea FC.",https://a0.muscache.com/pictures/a6f01a08-989b-4a0b-9db3-f8926c729b0f.jpg,56846808,https://www.airbnb.com/users/show/56846808,Angus,2016-01-31,"London, United Kingdom",,,,,f,https://a0.muscache.com/im/pictures/user/60feeb94-172b-45c8-9326-d6f3a8c6fd05.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/60feeb94-172b-45c8-9326-d6f3a8c6fd05.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,"London, England, United Kingdom",Kensington and Chelsea,,51.48459,-0.17076,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,"[""Extra pillows and blankets"", ""Oven"", ""Cleaning before checkout"", ""Hair dryer"", ""Hangers"", ""Dishes and silverware"", ""Essentials"", ""Patio or balcony"", ""Shampoo"", ""Cooking basics"", ""Single level home"", ""Bed linens"", ""Wifi"", ""Heating"", ""Coffee maker"", ""Dishwasher"", ""Backyard"", ""Long term stays allowed"", ""TV"", ""Microwave"", ""Refrigerator"", ""Iron"", ""Kitchen"", ""BBQ grill"", ""Stove"", ""Hot water"", ""Washer"", ""Smoke alarm"", ""Dryer"", ""Lockbox""]",80.0,4,145,4.0,4.0,145.0,145.0,4.0,145.0,,t,0,0,0,0,2022-09-12,30,0,0,2016-08-13,2017-09-25,4.6,4.73,4.57,4.69,4.6,4.62,4.59,,f,1,1,0,0,0.41,0
13105,14007016,https://www.airbnb.com/rooms/14007016,20220910194334,2022-09-11,city scrape,Charming Chelsea Flat / Peaceful Terrace / London's West End,"Located in the fashionable Chelsea area of London, within easy reach of all the attractions and walking distance of fine restaurants, pubs and the chic shopping on the famous Kings Road. Newly renovated, lovely high ceilings, hardwood floors throughout, and fully-equipped kitchen. Have a meal and relax in a bright bay window or outdoors at a bistro table on our private sheltered roof terrace. This is our second home - I'm sure you will also feel at home.","Located on a quiet street in the heart of the fashionable Chelsea/Earls Court/South Kensington districts but close to many fine restaurants, bistros, and cafes. A short walk to the Kings Road provides some of the best shopping in London.  Easy to travel around by train and on foot. London is a 'walking city'.  Closest Underground station is Earls Court which is only 8 minutes walk away from our apartment.  <br />We love to unwind on our private roof Terrace with a glass of wine - hope you can too!",https://a0.muscache.com/pictures/a17d255b-4a12-4e00-a672-fefa034b2fb6.jpg,53186911,https://www.airbnb.com/users/show/53186911,Shelley,2016-01-03,"England, United Kingdom","We have lived in Blackheath for 20+ years raising our family and now enjoy travelling and welcoming people to our home. We also love walking, cycling, yoga and healthy living. 

Before Blackheath we lived abroad and visited the U.S. extensively.  Prior to this, we are both Londoners - Blackheath offers us beautiful country living but is just a short trip away from London - one of the greatest cities in the world! We are very lucky!",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/7c49b141-3f8f-4034-a2e6-2787ae89e62c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7c49b141-3f8f-4034-a2e6-2787ae89e62c.jpg?aki_policy=profile_x_medium,Chelsea,4.0,4.0,"['email', 'phone']",t,t,"Greater London, England, United Kingdom",Kensington and Chelsea,,51.48832,-0.19,Entire rental unit,Entire home/apt,3,,1 bath,2.0,2.0,"[""Wifi"", ""Coffee maker"", ""Paid parking off premises"", ""Dishwasher"", ""Washer"", ""Backyard"", ""TV"", ""Full kitchen"", ""Fire extinguisher"", ""Smoke alarm"", ""Hair dryer"", ""Bathroom essentials"", ""Bathtub"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Bedroom comforts""]",235.0,14,90,14.0,14.0,90.0,90.0,14.0,90.0,,t,2,22,52,312,2022-09-11,33,3,0,2017-09-16,2022-01-09,4.91,4.78,5.0,4.96,5.0,4.87,4.61,,f,1,1,0,0,0.54,1
14409,15650294,https://www.airbnb.com/rooms/15650294,20220910194334,2022-09-11,city scrape,Central London Kensington 2bd Apt Garden Fireplace,"Newly refurbished!  Bedroom2 available with two options: King-Size bed or 2 Singles. Kitchen-Diner. Apartment on quiet leafy street, 2 min walk from Earls Court Tube. Upper Ground floor, private garden. Walking to Tourist attractions, Hyde Park 20 min. 5 min walk 24hr Supermarket ""Tesco"", bars, restaurants, coffee shops, banks, beauty salons, hospital, pharmacies.<br /><br /><b>The space</b><br />Unbeatable location, spacious apartment with fireplace, your own private garden.<br /><br /><b>Guest access</b><br />Enjoy access to your own urban wild life, mature private garden. Fully equipped gourmet kitchen.<br /><br /><b>Other things to note</b><br />Bi/weekly cleaning/linen change included. <br />End of Tenancy Clean $200","The Apartment is on quiet, leafy street. Earls Court is vibrant area, full of coffee shops, restaurants, pubs, bars, grocery/off license shops, park.<br />Walking distance to most Tourist attractions.",https://a0.muscache.com/pictures/pro_photo_tool/Hosting-15650294-unapproved/original/c8defae0-c591-4cc8-8a91-a29c11d66826.JPEG,920762,https://www.airbnb.com/users/show/920762,Natalia,2011-08-04,United States,"My 5* hotel industry experience in UK and Ireland, really pays off when running Holiday rental. Our helpful staff is ready to attend to your every need. Our goal is to make your holiday a great experience - your Home away from Home.
By day, I am international Filmmaker and Photographer. Sharing my Holiday home and making guests comfortable - is my other great passion. ",within a few hours,90%,97%,f,https://a0.muscache.com/im/pictures/user/22e8938b-f37e-430a-861c-1124d7e96115.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/22e8938b-f37e-430a-861c-1124d7e96115.jpg?aki_policy=profile_x_medium,Earls Court,5.0,6.0,"['email', 'phone', 'work_email']",t,t,"London, England, United Kingdom",Kensington and Chelsea,,51.48794,-0.19435,Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,"[""Extra pillows and blankets"", ""Oven"", ""Hair dryer"", ""Wine glasses"", ""Hangers"", ""Dishes and silverware"", ""Essentials"", ""Patio or balcony"", ""Shampoo"", ""TV with standard cable"", ""Cooking basics"", ""Bed linens"", ""Carbon monoxide alarm"", ""Shower gel"", ""Indoor fireplace"", ""Wifi"", ""Heating"", ""Building staff"", ""Coffee maker"", ""Dishwasher"", ""Backyard"", ""Long term stays allowed"", ""Microwave"", ""Refrigerator"", ""Clothing storage: closet, wardrobe, and dresser"", ""Iron"", ""Body soap"", ""Kitchen"", ""Stove"", ""Toaster"", ""Hot water"", ""Washer"", ""Paid parking off premises"", ""Smoke alarm"", ""Dryer"", ""Cable TV""]",258.0,14,84,14.0,14.0,84.0,84.0,14.0,84.0,,t,5,5,5,258,2022-09-11,17,2,0,2017-11-05,2022-03-21,4.65,4.65,4.76,4.65,4.71,4.82,4.35,,f,4,3,1,0,0.29,1
22068,21523290,https://www.airbnb.com/rooms/21523290,20220910194334,2022-09-12,previous scrape,Elegant 2 bed flat in Notting Hill,"Welcome to my home! My beautiful 2 bedroom apartment, in the vibrant area of Notting Hill, is a stylish and comfortable place to stay and has terrific transport links. You’re just a 7 minute walk away from the Ladbroke Grove tube station and just around the corner from Portobello Market!<br />My property has is elegant and chic and has a private garden for those warmer days... <br />Explore the neighbourhood and enjoy this bustling part of London. <br />I hope you enjoy your stay!<br /><br /><b>The space</b><br />My stylish 2 bedroom apartment is the perfect base when visiting London. Conveniently located in the exciting area of Notting Hill, and with great transport links, you’ll be right in the hub of the city but able to escape the hustle and bustle!<br />The living area is an elegant space with a beautiful, modern design and lovely finishing touches. Relax on the sofa, hang out, make yourself at home! It’s a welcoming and inviting space where you can kick back.<br />If cooking is y","Ladbroke Grove is neighbour to Notting Hill and is not short on character or things to do. Great restaurants are on every corner - try Lisa's Kitchen and Bar for authentic Scandinavian food. West Thirty Six is great fun and the Golborne Deli is very nearby and worth a visit.<br />For brilliant brunch, you can’t go wrong with Egg Break. They focus, unsurprisingly, on eggs! Great food with a fun atmosphere. <br />Expect to queue at Granger & Co - this place is very popular with locals. They do a fantastic brunch but don’t disappoint at lunch or dinner either.<br />The Ledbury is an unusual combination of being both a friendly neighbourhood restaurant and the proud holders of a Michelin star. The staff aren’t stuffy and the food isn’t pretentious, but you definitely will need to book well in advance.<br />Fans of Mexican food should head to Santo - they have every kind of tequila you could possibly want, authentic food, and a lively vibe as the night goes on!<br />The Shed is a modern Bri",https://a0.muscache.com/pictures/3159a670-816c-4203-b73c-548b085aa7f1.jpg,156415653,https://www.airbnb.com/users/show/156415653,Octavia,2017-10-27,"England, United Kingdom",,,,,f,https://a0.muscache.com/im/pictures/user/d4d7abb9-ab5c-40ff-992a-4efea58f2b30.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d4d7abb9-ab5c-40ff-992a-4efea58f2b30.jpg?aki_policy=profile_x_medium,Notting Hill,1.0,1.0,"['email', 'phone']",t,t,"Greater London, England, United Kingdom",Kensington and Chelsea,,51.52109,-0.20709,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,"[""Extra pillows and blankets"", ""First aid kit"", ""Oven"", ""Fire extinguisher"", ""Hair dryer"", ""Private entrance"", ""Hangers"", ""Dishes and silverware"", ""Essentials"", ""Patio or balcony"", ""Shampoo"", ""Cooking basics"", ""Bed linens"", ""Carbon monoxide alarm"", ""Wifi"", ""Heating"", ""Dishwasher"", ""Backyard"", ""Long term stays allowed"", ""TV"", ""Microwave"", ""Refrigerator"", ""Iron"", ""Kitchen"", ""Stove"", ""Hot water"", ""Washer"", ""Smoke alarm"", ""Lockbox""]",120.0,2,30,2.0,2.0,30.0,30.0,2.0,30.0,,t,0,0,0,0,2022-09-12,29,0,0,2017-11-22,2020-01-02,4.54,4.75,4.36,4.82,4.79,4.86,4.75,,f,1,1,0,0,0.5,0
